City_ID,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Current Desc,Rain,Snow
65,Colesberg,-30.72,25.1,42.55,55,12.82,ZA,clear sky,0.0,0
66,Chokurdakh,70.63,147.92,61.21,56,10.42,RU,broken clouds,0.0,0
67,Butaritari,3.07,172.79,83.48,77,16.22,KI,light rain,0.17,0
68,Aswan,24.09,32.91,88.12,19,13.15,EG,scattered clouds,0.0,0
69,Khorixas,-20.37,14.97,57.11,36,6.55,NA,clear sky,0.0,0
70,Ialibu,-6.28,143.99,55.81,98,1.77,PG,overcast clouds,0.0,0
71,Amuntai,-2.42,115.25,73.04,98,1.5,ID,overcast clouds,0.0,0
72,Dikson,73.51,80.55,42.35,97,6.38,RU,overcast clouds,0.0,0
73,Marzuq,14.4,46.47,85.82,39,11.68,YE,broken clouds,0.0,0
74,Tanout,14.97,8.89,91.81,35,12.82,NE,light rain,0.27,0
75,Dongsheng,39.82,109.98,57.24,96,0.43,CN,clear sky,0.0,0
76,Bakchar,57.02,82.07,55.4,97,5.59,RU,overcast clouds,0.0,0
77,Tautira,-17.73,-149.15,82.4,61,6.93,PF,scattered clouds,0.0,0
78,Ayagoz,47.97,80.44,59.02,60,3.78,KZ,scattered clouds,0.0,0
79,Vanimo,-2.67,141.3,77.9,83,1.41,PG,light rain,0.9,0
80,Oranjemund,-28.55,16.43,55.29,78,10.74,NA,clear sky,0.0,0
81,Dalvik,65.97,-18.53,55.4,82,6.93,IS,light rain,0.0,0
82,Birao,10.28,22.79,76.66,78,4.27,CF,light rain,0.31,0
83,Aripuana,-9.17,-60.63,90.43,41,1.43,BR,scattered clouds,0.0,0
84,Kapaa,22.08,-159.32,82.4,65,16.11,US,scattered clouds,0.0,0
85,Miri,4.41,114.01,78.8,94,3.47,MY,scattered clouds,0.0,0
86,Lebu,-37.62,-73.65,50.22,89,5.79,CL,overcast clouds,0.0,0
87,Vaini,-21.2,-175.2,69.8,88,13.87,TO,broken clouds,0.0,0
88,Hofu,34.05,131.57,73.4,88,4.7,JP,light intensity shower rain,0.0,0
89,Chapada Dos Guimaraes,-15.46,-55.75,93.2,30,6.93,BR,few clouds,0.0,0
90,La Ronge,55.1,-105.28,75.2,50,12.75,CA,overcast clouds,0.0,0
91,Gamba,-2.65,10.0,70.9,91,6.64,GA,few clouds,0.0,0
92,Ribeira Grande,38.52,-28.7,71.6,78,13.87,PT,few clouds,0.0,0
93,Port Hedland,-20.32,118.57,57.2,24,6.93,AU,clear sky,0.0,0
94,Georgetown,5.41,100.34,80.6,94,3.04,MY,scattered clouds,0.0,0
95,Kahului,20.89,-156.47,87.8,40,20.8,US,few clouds,0.0,0
96,Davila,18.47,120.58,82.63,74,2.59,PH,overcast clouds,0.0,0
97,Palmer,42.16,-72.33,88.0,45,13.87,US,scattered clouds,0.0,0
98,Deseronto,44.2,-77.05,82.0,63,3.0,CA,moderate rain,1.04,0
99,Qaanaaq,77.48,-69.36,47.61,58,3.8,GL,overcast clouds,0.0,0
100,Kitob,39.08,66.83,74.97,34,2.55,UZ,scattered clouds,0.0,0
101,Hilo,19.73,-155.09,78.8,69,5.82,US,moderate rain,1.52,0
102,Kaifeng,34.79,114.35,66.2,93,6.71,CN,mist,0.0,0
103,Shaoxing,30.01,120.57,82.4,83,4.47,CN,overcast clouds,0.0,0
104,Yaan,7.38,8.57,74.12,94,5.53,NG,light rain,0.23,0
105,Kattivakkam,13.22,80.32,84.2,83,6.93,IN,broken clouds,0.0,0
106,Sabha,27.04,14.43,89.08,14,8.95,LY,clear sky,0.0,0
107,Hambantota,6.12,81.12,80.73,80,16.89,LK,overcast clouds,0.0,0
108,Chuy,-33.7,-53.46,48.54,72,8.97,UY,clear sky,0.0,0
109,Ranong,9.97,98.63,78.57,83,6.49,TH,light rain,0.49,0
110,Puerto Narino,-3.77,-70.38,87.8,66,4.7,CO,scattered clouds,0.0,0
111,Gulu,2.77,32.3,63.72,93,2.73,UG,scattered clouds,0.0,0
112,Bud,39.45,-86.18,82.99,57,3.36,US,scattered clouds,0.0,0
113,Port Alfred,-33.59,26.89,58.59,39,12.88,ZA,clear sky,0.0,0
114,Kokopo,-4.35,152.26,76.59,85,2.26,PG,light rain,0.35,0
115,Dingle,11.0,122.67,76.42,91,3.31,PH,light rain,0.13,0
116,Port-Gentil,-0.72,8.78,77.0,88,14.05,GA,broken clouds,0.0,0
117,Colares,38.8,-9.45,77.0,57,12.75,PT,clear sky,0.0,0
118,Felanitx,39.47,3.15,80.6,50,1.12,ES,clear sky,0.0,0
119,Elizabeth City,36.29,-76.25,95.0,46,11.41,US,clear sky,0.0,0
120,Zambezi,-13.54,23.1,59.58,39,4.83,ZM,clear sky,0.0,0
121,Fairbanks,64.84,-147.72,64.99,55,4.25,US,few clouds,0.0,0
122,Homer,59.64,-151.55,60.8,59,12.75,US,clear sky,0.0,0
123,Berlevag,70.86,29.09,46.4,87,6.93,NO,broken clouds,0.0,0
124,Guia De Isora,28.21,-16.78,73.99,73,16.11,ES,clear sky,0.0,0
125,Fortuna,40.6,-124.16,68.0,63,17.22,US,few clouds,0.0,0
126,Narsaq,60.92,-46.05,59.0,58,6.93,GL,overcast clouds,0.0,0
127,Jiangkou,25.49,119.2,80.6,88,4.47,CN,overcast clouds,0.0,0
128,Winnemucca,40.97,-117.74,93.2,5,11.41,US,clear sky,0.0,0
129,Batticaloa,7.71,81.69,81.45,76,7.52,LK,overcast clouds,0.0,0
130,Marica,-22.92,-42.82,86.0,54,6.93,BR,overcast clouds,0.0,0
131,Wokha,26.1,94.27,59.65,100,1.86,IN,moderate rain,2.72,0
132,Wattegama,6.8,81.48,78.53,69,5.68,LK,overcast clouds,0.0,0
133,Port Elizabeth,-33.92,25.57,55.4,66,5.82,ZA,clear sky,0.0,0
134,Tura,25.52,90.22,74.35,97,6.17,IN,moderate rain,1.18,0
135,Saldanha,-33.01,17.94,57.2,76,12.75,ZA,scattered clouds,0.0,0
136,New Norfolk,-42.78,147.06,37.99,91,2.21,AU,light rain,0.25,0
137,Praia Da Vitoria,38.73,-27.07,73.4,69,10.25,PT,few clouds,0.0,0
138,Cabra,37.47,-4.44,89.6,31,4.7,ES,clear sky,0.0,0
139,Great Yarmouth,52.61,1.73,60.01,81,1.01,GB,scattered clouds,0.0,0
140,Evensk,61.95,159.23,60.37,81,0.98,RU,light rain,0.14,0
141,Atuona,-9.8,-139.03,80.6,73,22.46,PF,clear sky,0.0,0
142,Maceio,-9.67,-35.74,77.0,73,5.82,BR,few clouds,0.0,0
143,Saint-Paul,-21.01,55.27,69.8,68,16.11,RE,few clouds,0.0,0
144,Saskylakh,71.92,114.08,59.54,72,16.42,RU,overcast clouds,0.0,0
145,Caravelas,-17.71,-39.25,71.74,80,4.29,BR,broken clouds,0.0,0
146,Lamar,33.67,-95.58,98.01,56,5.82,US,clear sky,0.0,0
147,Hobyo,5.35,48.53,79.83,74,21.27,SO,scattered clouds,0.0,0
148,Aleksandrovsk-Sakhalinskiy,50.9,142.16,59.79,86,2.55,RU,broken clouds,0.0,0
149,Toora-Khem,52.47,96.11,52.45,88,2.1,RU,overcast clouds,0.0,0
150,Hobart,-42.88,147.33,39.99,93,9.17,AU,broken clouds,0.0,0
151,Souillac,-20.52,57.52,71.6,73,14.99,MU,few clouds,0.0,0
152,Zhoucheng,35.91,116.31,71.01,82,7.67,CN,overcast clouds,0.0,0
153,Castro,-24.79,-50.01,62.22,74,7.76,BR,clear sky,0.0,0
154,Villazon,-22.09,-65.59,57.24,23,5.23,BO,clear sky,0.0,0
155,Salalah,17.02,54.09,82.4,88,4.7,OM,overcast clouds,0.0,0
156,Rio Gallegos,-51.62,-69.22,33.8,80,16.11,AR,clear sky,0.0,0
157,Xichang,27.9,102.26,66.61,79,3.36,CN,overcast clouds,0.0,0
158,Floro,61.6,5.03,53.6,71,2.1,NO,broken clouds,0.0,0
159,Nanfeng,23.74,111.8,76.41,93,1.68,CN,overcast clouds,0.0,0
160,Choma,-16.81,26.95,56.82,36,4.41,ZM,clear sky,0.0,0
161,Santa Luzia,-19.77,-43.85,78.8,38,4.7,BR,few clouds,0.0,0
162,Hays,30.05,-98.03,105.01,33,8.5,US,clear sky,0.0,0
163,Sarangani,5.4,125.46,82.02,70,1.5,PH,overcast clouds,0.0,0
164,Kidal,18.44,1.41,91.54,26,6.85,ML,broken clouds,0.0,0
165,Padang,-0.95,100.35,76.6,80,4.23,ID,light rain,0.23,0
166,Denpasar,-8.65,115.22,78.8,100,9.17,ID,scattered clouds,0.0,0
167,Lorengau,-2.02,147.27,81.03,76,2.53,PG,overcast clouds,0.0,0
168,Debno,52.74,14.7,61.0,65,3.76,PL,clear sky,0.0,0
169,Port Lincoln,-34.73,135.87,51.75,81,2.71,AU,clear sky,0.0,0
170,Bredasdorp,-34.53,20.04,48.2,66,2.24,ZA,clear sky,0.0,0
171,Bambous Virieux,-20.34,57.76,72.0,73,14.99,MU,few clouds,0.0,0
172,Olinda,-8.01,-34.86,80.6,65,9.17,BR,scattered clouds,0.0,0
173,Upernavik,72.79,-56.15,42.1,83,9.89,GL,overcast clouds,0.0,0
174,Santander,43.46,-3.8,72.0,77,1.12,ES,clear sky,0.0,0
175,Reshetylivka,49.56,34.08,67.6,67,8.43,UA,clear sky,0.0,0
176,Salamiyah,35.01,37.05,71.01,74,9.86,SY,clear sky,0.0,0
177,Melito Di Porto Salvo,37.92,15.77,78.8,83,4.7,IT,few clouds,0.0,0
178,Wewak,-3.55,143.63,78.58,82,0.6,PG,light rain,0.14,0
179,Mwene-Ditu,-7.0,23.45,70.56,57,2.26,CD,few clouds,0.0,0
180,Zhezkazgan,47.8,67.71,80.06,46,8.16,KZ,clear sky,0.0,0
181,Shitanjing,39.23,106.34,66.15,70,3.71,CN,clear sky,0.0,0
182,Havre-Saint-Pierre,50.23,-63.6,75.2,78,9.17,CA,few clouds,0.0,0
183,Canas,10.43,-85.09,87.8,66,11.41,CR,scattered clouds,0.0,0
184,Pocos De Caldas,-21.79,-46.56,60.51,73,0.94,BR,overcast clouds,0.0,0
185,Coquimbo,-29.95,-71.34,60.8,72,10.29,CL,broken clouds,0.0,0
186,Narrabri,-30.32,149.78,39.2,93,1.92,AU,overcast clouds,0.0,0
187,Clyde River,70.47,-68.59,44.6,87,10.29,CA,overcast clouds,0.0,0
188,Deputatskiy,69.3,139.9,62.51,57,4.25,RU,broken clouds,0.0,0
189,Barrow,71.29,-156.79,37.4,86,6.93,US,overcast clouds,0.0,0
190,East London,-33.02,27.91,59.58,55,18.79,ZA,clear sky,0.0,0
191,Almeirim,-1.52,-52.58,81.64,78,2.35,BR,scattered clouds,0.0,0
192,Esperantinopolis,-4.87,-44.71,80.44,56,2.01,BR,clear sky,0.0,0
193,Baker City,44.77,-117.83,78.8,31,10.29,US,scattered clouds,0.0,0
194,Namatanai,-3.67,152.43,75.92,90,8.95,PG,moderate rain,3.68,0
195,Bemidji,47.47,-94.88,81.0,47,4.7,US,scattered clouds,0.0,0
196,Dawlatabad,36.41,64.91,74.8,35,2.15,AF,clear sky,0.0,0
197,Swan River,52.11,-101.27,78.51,57,5.5,CA,overcast clouds,0.0,0
198,Pevek,69.7,170.31,48.54,72,3.98,RU,broken clouds,0.0,0
199,Fukue,32.69,128.84,78.01,93,17.67,JP,overcast clouds,0.0,0
200,Thompson,55.74,-97.86,71.6,56,6.93,CA,broken clouds,0.0,0
201,Puerto Ayora,-0.74,-90.35,70.0,86,1.99,EC,overcast clouds,0.0,0
202,Broken Hill,-31.95,141.43,42.8,93,10.29,AU,clear sky,0.0,0
203,Hoquiam,46.98,-123.89,64.0,72,14.99,US,broken clouds,0.0,0
204,Camacha,33.08,-16.33,69.8,73,14.99,PT,scattered clouds,0.0,0
205,Bridgton,44.05,-70.71,84.0,71,1.99,US,few clouds,0.0,0
206,Oussouye,12.48,-16.55,80.6,100,2.24,SN,broken clouds,0.0,0
207,Geraldton,-28.77,114.6,53.6,54,12.75,AU,clear sky,0.0,0
208,Stromness,58.97,-3.3,53.6,87,10.29,GB,overcast clouds,0.0,0
209,Kavieng,-2.57,150.8,82.36,71,3.4,PG,overcast clouds,0.0,0
210,Bandarbeyla,9.49,50.81,81.9,68,31.74,SO,broken clouds,0.0,0
211,Francistown,-21.17,27.51,53.6,27,6.93,BW,clear sky,0.0,0
212,Kenora,49.82,-94.43,75.2,50,4.7,CA,shower rain,0.0,0
213,Sibolga,1.74,98.78,75.34,80,4.54,ID,light rain,0.11,0
214,Kudahuvadhoo,2.67,72.89,84.15,67,2.93,MV,overcast clouds,0.0,0
215,Rock Sound,24.9,-76.2,83.52,77,11.97,BS,light rain,0.88,0
216,Touros,-5.2,-35.46,78.8,65,8.05,BR,few clouds,0.0,0
217,Katsuura,35.13,140.3,68.0,88,8.05,JP,light intensity shower rain,0.0,0
218,Mitsamiouli,-11.38,43.28,77.52,73,4.94,KM,clear sky,0.0,0
219,Ontario,34.06,-117.65,102.99,9,9.17,US,few clouds,0.0,0
220,Ocos,14.51,-92.19,89.6,70,11.41,GT,scattered clouds,0.0,0
221,Kaitangata,-46.28,169.85,37.0,76,4.0,NZ,clear sky,0.0,0
222,Torbay,47.67,-52.73,63.0,77,14.99,CA,broken clouds,0.0,0
223,Harboore,56.62,8.18,55.0,83,16.02,DK,broken clouds,0.0,0
224,Boa Vista,2.82,-60.67,78.8,83,9.17,BR,broken clouds,0.0,0
225,Tucurui,-3.77,-49.67,81.57,71,3.38,BR,overcast clouds,0.0,0
226,Kurchum,48.57,83.65,59.77,74,3.18,KZ,clear sky,0.0,0
227,Mogadishu,2.04,45.34,77.49,85,16.44,SO,light rain,0.81,0
228,Takoradi,4.88,-1.76,74.7,89,8.55,GH,scattered clouds,0.0,0
229,Nyaunglebin,17.95,96.73,75.97,93,6.11,MM,light rain,0.8,0
230,Freiburg,46.8,7.15,64.4,59,3.36,CH,scattered clouds,0.0,0
231,Yuancheng,36.65,107.79,61.05,88,2.06,CN,clear sky,0.0,0
232,Lavrentiya,65.58,-171.0,45.97,75,5.17,RU,clear sky,0.0,0
233,Buala,-8.14,159.59,81.59,81,14.18,SB,light rain,0.8,0
234,Esperance,-33.87,121.9,50.0,57,20.8,AU,clear sky,0.0,0
235,Angoche,-16.23,39.91,72.25,81,7.87,MZ,clear sky,0.0,0
236,Buchanan,5.88,-10.05,77.0,94,7.96,LR,broken clouds,0.0,0
237,Aljezur,37.32,-8.8,82.0,57,7.23,PT,clear sky,0.0,0
238,Los Llanos De Aridane,28.66,-17.92,73.4,73,12.75,ES,few clouds,0.0,0
239,Beringovskiy,63.05,179.32,50.54,82,10.29,RU,overcast clouds,0.0,0
240,Yuxia,34.06,108.63,73.99,94,4.47,CN,broken clouds,0.0,0
241,Kampot,10.62,104.18,79.84,81,3.69,KH,overcast clouds,0.0,0
242,Mao,39.89,4.27,75.2,44,4.7,ES,broken clouds,0.0,0
243,Arraial Do Cabo,-22.97,-42.03,84.2,51,8.05,BR,broken clouds,0.0,0
244,Taoudenni,22.68,-3.98,98.64,28,3.76,ML,broken clouds,0.0,0
245,Novikovo,51.15,37.89,65.98,68,5.17,RU,clear sky,0.0,0
246,Airai,-8.93,125.41,55.67,94,4.23,TL,overcast clouds,0.0,0
247,Goma,-1.68,29.22,63.3,77,2.66,CD,light rain,0.17,0
248,Aklavik,68.22,-135.01,53.6,76,4.7,CA,broken clouds,0.0,0
249,Hithadhoo,-0.6,73.08,85.28,69,7.78,MV,overcast clouds,0.0,0
250,Sitka,57.05,-135.33,57.2,82,4.7,US,broken clouds,0.0,0
251,Kununurra,-15.77,128.73,66.2,30,6.93,AU,overcast clouds,0.0,0
252,Rawson,-43.3,-65.1,43.52,57,21.3,AR,clear sky,0.0,0
253,Bobcaygeon,44.55,-78.54,80.6,54,8.05,CA,few clouds,0.0,0
254,Atar,20.52,-13.05,95.58,31,4.74,MR,clear sky,0.0,0
255,Wanning,18.8,110.4,80.76,89,9.19,CN,few clouds,0.0,0
256,Tripoli,32.88,13.19,76.6,74,9.48,LY,clear sky,0.0,0
257,Mudon,16.26,97.72,76.82,94,5.88,MM,moderate rain,2.4,0
258,Ode,7.79,5.71,70.25,98,5.91,NG,light rain,0.33,0
