City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
348,Guerrero Negro,MX,87.15,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
350,Odweyne,SO,76.95,clear sky,9.41,45.06,Eng Hiirey House
361,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Hotel Sentinel
363,Sao Miguel Do Araguaia,BR,82.09,clear sky,-13.28,-50.16,Hotel Executivo Palace
365,Pafos,CY,77.0,few clouds,34.77,32.42,Elysium Hotel
366,Komsomolskiy,UZ,75.2,overcast clouds,40.43,71.72,Ikathouse
367,Saryagash,KZ,78.8,broken clouds,41.45,69.17,Paradise Hotel
369,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
370,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
380,Kudat,MY,75.2,few clouds,6.88,116.85,Dream Garden Hotel
386,Gazanjyk,TM,83.52,overcast clouds,39.24,55.52,Railway motel
387,Shenjiamen,CN,77.41,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
389,Jalu,LY,77.25,clear sky,29.03,21.55,Jalu Hotel
391,Siderno,IT,78.8,few clouds,38.28,16.3,Grand Hotel President
395,Mirador,BR,82.63,scattered clouds,-6.37,-44.36,Pousada Casa Nova
396,Iralaya,HN,89.6,scattered clouds,15.0,-83.23,Iglesia morava renovada
404,Meulaboh,ID,76.28,overcast clouds,4.14,96.13,Kost Pria
406,Timbiqui,CO,80.94,broken clouds,2.77,-77.67,hotel diana
409,Sokoni,TZ,77.0,few clouds,-6.43,39.55,Ujamaa Beach Resort
412,Umm Kaddadah,SD,84.25,overcast clouds,13.6,26.69,
415,Manaure,CO,87.8,broken clouds,11.78,-72.44,Del mar vendra
424,Broome,US,82.99,few clouds,42.25,-75.83,Chenango Valley State Park
429,Minnedosa,CA,78.8,broken clouds,50.25,-99.84,Kruk Castle Bed & Breakfast
437,Nova Olinda Do Norte,BR,86.27,broken clouds,-3.89,-59.09,Nova Olinda Palace Hotel
439,Praya,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
446,Roma,US,82.4,broken clouds,43.21,-75.46,Wingate By Wyndham Rome
451,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
454,Jasper,US,88.0,clear sky,37.2,-94.35,Guest House Motel
456,Manicore,BR,75.2,light rain,-5.81,-61.3,Pousada da wanda
459,Phalodi,IN,89.85,scattered clouds,27.13,72.37,Hotel Fort View
469,Yenotayevka,RU,86.14,clear sky,47.25,47.03,Hotel Voyage
470,Sueyoshi,JP,75.0,fog,31.65,131.02,深川熊野神社 駐車場
478,Ewa Beach,US,84.2,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
484,Kula,TR,75.99,clear sky,38.55,28.65,Anemon Kula Hotel
488,Canchungo,GW,77.0,broken clouds,12.07,-16.03,Hotel Pereira
490,Areosa,PT,80.01,clear sky,41.72,-8.86,Hotel Flôr de Sal
492,Bombay,IN,78.8,light rain,19.01,72.85,Four Seasons Hotel Mumbai
496,Sorong,ID,76.03,clear sky,-0.88,131.25,The Waigo Hotel
497,Hailey,US,82.4,clear sky,43.52,-114.32,Wood River Inn & Suites
500,Bonoua,CI,77.0,few clouds,5.27,-3.6,Hotel Bon Samaritian
501,Zhangye,CN,75.54,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
502,Thunder Bay,CA,77.0,scattered clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
505,Westport,US,89.01,clear sky,41.14,-73.36,The Westport Inn
519,Bow Island,CA,77.0,broken clouds,49.87,-111.37,Pleasant View Lodge
532,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
535,Asyut,EG,84.78,clear sky,27.18,31.18,Florence Hotel Assiut
538,Zlitan,LY,75.52,clear sky,32.47,14.57,القسم الداخلي للجامعة الأسمرية
541,Champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
543,Rosarito,MX,88.0,scattered clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
545,Flin Flon,CA,75.2,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
546,Marsh Harbour,BS,79.74,overcast clouds,26.54,-77.06,Abaco Beach Resort
549,Idil,TR,82.99,broken clouds,37.34,41.89,ÇAKIR APARTMANI
550,Nantucket,US,80.01,clear sky,41.28,-70.1,Jared Coffin House
552,Aden,YE,87.21,broken clouds,12.78,45.04,Sama Emirate Hotel
555,Vyara,IN,79.63,few clouds,21.12,73.4,Crystal Guest House
558,Tiarei,PF,84.2,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
567,Oum Hadjer,TD,88.95,clear sky,13.3,19.7,
